cfips,pct_employed_at_self_employed,pct_employed_at_non_profit,pct_employed_at_government
13319,6.4,6.0,18.9
13321,9.9,5.4,15.4
15001,15.700000000000001,7.0,18.9
15003,9.0,8.1,21.7
15005,3.5,1.8,59.6
15007,13.5,5.3,15.2
15009,14.1,6.6,14.6
16001,11.5,9.2,14.2
16003,19.9,4.9,19.8
16005,9.2,5.4,20.4
16007,15.7,5.3,14.9
16009,13.2,8.2,19.9
16011,10.0,4.7,17.0
16013,21.0,5.2,11.0
16015,17.2,6.7,21.3
16017,17.6,5.4,11.3
16019,10.4,6.0,15.9
16021,17.8,6.8,17.0
16023,18.5,7.2,27.8
16025,26.200000000000003,11.5,19.4
16027,11.2,6.9,10.8
16029,15.600000000000001,4.9,17.3
16031,15.5,4.4,11.2
16033,7.6,0.2,13.6
16035,13.600000000000001,7.8,24.1
16037,19.6,3.3,22.4
16039,10.8,3.7,24.2
16041,10.5,5.2,10.2
16043,14.100000000000001,6.9,19.9
16045,13.7,6.9,14.1
16047,12.9,4.5,10.6
16049,17.8,4.4,23.4
16051,13.0,3.6,16.1
16053,12.0,5.8,7.9
16055,12.6,6.6,13.1
16057,9.7,6.1,29.6
16059,17.299999999999997,4.0,19.3
16061,16.6,6.3,25.6
16063,13.3,4.5,12.8
16065,7.4,13.5,12.0
16067,9.0,4.5,12.1
16069,9.8,6.6,17.0
16071,11.3,7.5,18.6
16073,15.799999999999999,4.4,13.0
16075,13.6,7.1,13.9
16077,11.5,3.6,22.7
16079,10.7,5.2,13.7
16081,17.3,6.8,7.7
16083,11.899999999999999,8.9,11.6
16085,20.1,12.0,15.4
16087,14.4,3.7,19.1
17001,10.1,12.3,10.8
17003,3.4,7.7,18.7
17005,8.5,8.3,12.1
17007,9.5,5.6,9.4
17009,12.6,7.6,16.5
17011,9.8,7.1,10.7
17013,14.3,3.9,13.1
17015,10.7,8.0,15.4
17017,9.7,7.1,14.1
17019,7.5,9.7,26.7
17021,9.8,8.7,13.5
17023,11.399999999999999,6.5,10.8
17025,10.1,6.5,13.8
17027,9.0,7.7,12.8
17029,8.1,10.7,17.2
17031,8.5,9.9,11.0
17033,9.9,8.5,14.4
17035,9.0,9.8,11.3
17037,7.1,7.4,16.8
17039,11.899999999999999,7.0,14.9
17041,11.8,7.2,13.2
17043,9.399999999999999,8.4,9.1
17045,10.3,7.2,13.1
17047,13.4,5.7,9.2
17049,11.8,6.6,8.9
17051,10.3,6.2,14.0
17053,13.899999999999999,10.2,10.5
17055,8.9,8.2,15.8
17057,9.6,8.8,16.6
17059,7.800000000000001,5.0,12.9
17061,11.2,4.5,14.7
17063,5.699999999999999,6.2,12.4
17065,10.0,8.4,15.6
17067,12.4,7.5,11.9
17069,8.6,10.8,15.9
17071,9.6,7.8,14.3
17073,8.6,8.9,13.1
17075,12.5,8.9,12.3
17077,8.5,11.4,25.1
17079,13.799999999999999,3.8,14.5
17081,10.4,9.7,12.3
17083,8.5,8.4,10.1
17085,15.4,8.7,7.8
17087,7.0,11.5,26.8
17089,7.6,6.4,9.6
17091,5.9,10.2,13.5
17093,5.8,7.3,13.0
17095,8.4,11.0,11.8
