cfips,pct_divorced,pct_never_married
21223,12.5,25.2
21225,12.6,31.0
21227,12.1,35.5
21229,11.2,27.5
21231,13.3,26.5
21233,12.8,23.4
21235,12.1,27.6
21237,19.7,24.6
21239,11.5,24.7
22001,11.2,31.5
22003,13.7,33.3
22005,10.0,29.3
22007,11.9,33.7
22009,11.7,31.5
22011,12.3,26.5
22013,11.9,33.7
22015,11.3,29.8
22017,12.3,38.0
22019,12.5,30.9
22021,14.8,29.3
22023,11.2,25.3
22025,9.3,30.6
22027,11.0,38.4
22029,11.8,35.8
22031,12.2,31.7
22033,11.3,41.8
22035,10.7,54.2
22037,12.2,34.9
22039,11.9,34.5
22041,11.1,29.5
22043,13.0,35.4
22045,10.6,36.0
22047,12.5,39.4
22049,11.4,30.7
22051,12.3,34.7
22053,12.4,29.9
22055,11.3,37.7
22057,10.9,30.5
22059,11.5,30.2
22061,7.9,48.9
22063,13.4,26.3
22065,10.3,47.3
22067,9.0,37.7
22069,6.8,49.0
22071,12.5,49.2
22073,11.3,37.1
22075,10.5,27.5
22077,12.9,31.7
22079,12.6,32.7
22081,9.8,32.3
22083,11.7,33.1
22085,11.7,28.9
22087,13.7,36.7
22089,10.2,31.9
22091,10.9,33.7
22093,11.4,33.2
22095,10.6,35.9
22097,10.9,36.1
22099,10.7,33.6
22101,11.0,40.6
22103,12.3,27.8
22105,12.0,35.1
22107,10.2,40.0
22109,12.3,32.1
22111,9.9,32.4
22113,13.3,28.4
22115,11.2,28.3
22117,14.0,31.3
22119,10.9,33.5
22121,10.1,34.9
22123,12.3,26.8
22125,13.8,42.4
22127,12.2,32.5
23001,14.2,29.5
23003,12.0,25.3
23005,12.7,31.8
23007,14.2,26.6
23009,13.7,24.0
23011,16.4,27.9
23013,15.0,25.2
23015,13.6,22.0
23017,16.1,27.5
23019,13.6,31.9
23021,16.5,23.3
23023,14.0,22.5
23025,15.2,25.3
23027,13.7,24.6
23029,15.0,25.0
23031,13.4,25.9
24001,12.1,34.2
24003,10.5,30.8
24005,10.4,34.3
24009,11.3,28.8
24011,10.8,29.4
24013,9.1,25.7
24015,11.7,28.1
24017,10.0,33.2
24019,12.3,29.5
24021,9.8,28.5
24023,10.6,25.7
24025,9.4,28.1
24027,7.8,28.8
24029,10.4,32.4
24031,8.4,31.6
24033,10.3,42.3
24035,10.3,24.8
24037,10.2,30.5
24039,11.7,44.1
24041,11.7,22.3
24043,11.8,31.0
24045,10.5,38.6
24047,11.6,26.3
24510,10.9,52.5
25001,11.8,25.8
25003,13.1,32.8
25005,10.8,34.1
25007,11.0,33.7
25009,10.1,34.1
25011,12.7,30.7
25013,11.3,39.1
25015,9.7,45.2
25017,8.1,35.9
25019,12.4,36.6
25021,8.1,32.3
25023,9.6,31.8
25025,7.8,53.7
25027,10.6,34.1
26001,14.7,18.5
26003,12.7,30.7
26005,11.0,25.1
26007,14.4,24.0
26009,10.6,21.0
26011,13.0,22.9
26013,12.2,37.6
26015,10.6,22.3
26017,13.6,29.5
26019,13.5,23.6
26021,12.3,29.6
26023,14.5,25.7
26025,14.3,31.9
26027,11.9,24.4
26029,12.9,22.5
26031,11.8,22.3
26033,14.0,35.4
26035,13.4,24.1
26037,8.7,29.3
26039,13.1,22.3
26041,13.9,24.5
26043,13.1,24.2
26045,12.3,28.7
26047,12.4,25.8
26049,13.3,33.3
26051,13.5,21.2
26053,12.4,31.6
26055,13.3,28.0
26057,12.7,33.8
26059,12.6,26.7
26061,8.7,41.6
26063,12.1,23.2
26065,11.3,44.7
