cfips,pct_housing_vacant,pct_housing_occupant_ratio_lt1,pct_housing_grapi_gt35
19119,10.0,99.0,14.8
19121,6.7,99.3,26.3
19123,9.0,98.7,34.9
19125,7.2,98.9,32.2
19127,7.2,97.0,28.8
19129,8.8,98.8,38.0
19131,12.8,99.1,16.6
19133,14.7,99.1,24.2
19135,15.4,98.8,21.3
19137,11.8,97.3,37.8
19139,9.1,98.0,30.9
19141,8.4,99.1,33.3
19143,12.3,97.4,25.0
19145,11.1,98.4,33.7
19147,17.2,98.8,26.7
19149,6.1,99.6,28.7
19151,15.1,99.2,30.9
19153,6.5,97.3,35.6
19155,7.3,98.6,34.4
19157,16.5,99.4,29.3
19159,21.0,99.1,26.6
19161,19.2,99.5,27.0
19163,8.7,98.7,38.9
19165,9.3,99.0,20.7
19167,4.7,97.5,31.3
19169,4.3,98.6,50.4
19171,14.1,97.0,30.3
19173,13.2,99.0,19.7
19175,10.6,98.7,29.9
19177,21.1,97.3,22.7
19179,9.6,96.7,44.5
19181,4.1,98.9,31.8
19183,10.0,98.9,33.0
19185,17.5,96.5,26.8
19187,11.5,99.3,37.4
19189,11.5,99.0,25.3
19191,8.4,99.6,34.0
19193,7.0,97.5,33.3
19195,10.2,99.2,26.4
19197,14.2,98.9,35.5
20001,15.6,98.9,24.4
20003,14.3,99.2,24.7
20005,14.3,98.9,33.8
20007,29.5,98.8,23.5
20009,11.1,97.9,28.8
20011,21.4,96.5,33.6
20013,15.8,98.5,24.6
20015,8.6,98.0,33.8
20017,27.0,98.9,32.9
20019,33.1,98.0,38.4
20021,19.2,98.9,36.6
20023,17.4,99.8,37.7
20025,21.0,97.3,13.9
20027,16.3,99.3,20.1
20029,16.0,99.3,31.3
20031,11.4,98.2,30.1
20033,26.4,100.0,10.6
20035,15.1,97.9,33.1
20037,17.1,95.8,49.4
20039,20.1,99.6,28.0
20041,15.2,98.5,35.6
20043,14.6,97.5,25.5
20045,8.5,98.3,44.8
20047,21.6,98.7,23.4
20049,33.9,99.3,29.2
20051,11.4,99.2,38.5
20053,22.6,98.7,25.2
20055,6.1,92.0,23.3
20057,7.2,93.2,32.8
