cfips,pct_k12_enrollment,pct_k12_public_students,pct_college_public_students,pct_college_enrollment
12075,97.0945945945946,86.8,90.2,28.1
12077,95.86077140169333,95.9,95.8,24.3
12079,96.21241702459976,89.9,87.9,20.5
12081,96.58786207938367,87.6,76.4,30.3
12083,95.68473314025651,86.6,76.6,25.7
12085,97.79033397235395,88.1,80.7,32.1
12086,96.75245330560637,86.4,71.4,47.9
12087,95.1795129299523,90.1,64.2,29.0
12089,97.03739679456046,84.5,72.2,31.0
12091,97.44872278847363,90.8,82.5,26.2
12093,94.75819032761311,88.7,77.0,13.6
12095,97.45658872907161,86.9,79.1,50.6
12097,97.69719963304465,87.3,75.1,34.5
12099,97.38252336946262,86.6,75.9,43.2
12101,96.21246416176248,89.1,74.0,36.9
12103,96.01329477273708,84.4,78.8,38.1
12105,95.62158905663053,88.3,67.0,30.5
12107,97.69297484822204,89.8,80.7,18.9
12109,97.15564855592594,91.0,63.7,43.6
12111,95.2842586010039,87.3,75.8,36.1
12113,96.46119517467402,91.4,84.8,29.0
12115,96.75431840686544,89.2,77.8,34.2
12117,97.2272329725593,87.5,80.2,52.5
12119,95.21292217327459,84.0,64.9,16.8
12121,98.11806119685892,81.6,85.6,25.1
12123,95.38461538461539,78.8,85.7,26.2
12125,89.60078856579595,93.2,85.4,16.8
12127,96.93501954999212,89.9,62.0,45.9
12129,98.93497757847534,90.2,75.2,29.1
12131,96.61581977977573,90.6,88.5,27.9
12133,93.28172518661874,86.7,89.0,15.6
13001,93.74438790781203,96.7,75.9,22.0
13003,91.75014731879787,99.2,96.9,27.0
13005,93.9817043813192,93.6,85.3,19.2
13007,100.0,75.6,75.9,6.2
13009,97.55128001272062,86.8,86.6,63.7
13011,97.81240635301168,88.7,89.6,33.5
13013,95.62941638314577,89.3,78.1,28.4
13015,97.82273090231568,91.7,81.5,22.5
13017,94.11764705882354,90.3,86.7,22.3
13019,93.83720930232558,95.5,95.8,17.7
13021,96.11535763081127,86.2,57.9,43.0
13023,95.43610547667343,96.4,97.4,61.7
13025,91.91132414619533,91.5,85.1,9.2
13027,97.49190938511327,91.5,68.6,25.1
13029,97.82023022287534,91.2,74.1,35.3
13031,97.78736687477047,92.2,96.1,77.6
13033,96.19565217391305,86.4,88.4,31.2
13035,99.25124792013311,87.0,77.8,19.3
13037,97.72234273318873,86.5,89.6,8.6
13039,97.89929976658887,96.1,79.4,15.6
13043,98.83177570093459,95.0,88.5,22.7
13045,97.93314249672505,92.8,91.6,47.8
13047,97.79735682819383,87.9,77.6,29.0
13049,96.47964796479648,93.5,68.8,16.6
13051,97.44154562768179,84.5,62.8,48.9
13053,96.61764705882354,93.0,86.0,11.3
13055,95.66160520607376,92.7,86.0,20.7
13057,97.79725299449314,90.4,77.5,39.3
13059,98.472980978082,89.8,95.9,77.3
13061,98.23399558498896,98.6,89.0,33.2
13063,96.23456257017014,94.7,75.5,30.6
13065,98.81516587677726,99.1,100.0,33.0
13067,97.47826874320899,88.7,82.4,45.0
13069,96.12962477040146,95.7,73.8,31.0
13071,95.23430391264786,95.8,87.7,22.3
13073,94.85133400409396,90.4,86.3,37.3
13075,96.17853867318863,95.9,87.4,26.6
13077,97.24158497036568,89.0,72.6,34.2
13079,98.01526717557252,91.5,92.1,21.5
13081,96.11888970768852,96.0,83.4,33.0
13083,94.51166810717372,89.4,29.6,68.1
13085,98.99100081810745,92.8,86.4,24.3
13087,92.8601605407689,96.3,92.5,12.3
13089,97.6837683276036,88.4,58.6,39.8
13091,96.18546530746465,96.6,85.8,27.0
13093,99.62864721485411,82.8,95.9,17.1
13095,97.85550165943324,91.8,92.4,39.7
13097,97.56810023227986,91.4,76.9,33.6
13099,97.86791471658866,92.7,87.1,22.4
13101,95.89235127478753,96.7,78.3,13.9
13103,97.8428093645485,93.2,89.3,24.1
13105,98.12869336835193,95.5,83.2,24.8
13107,98.39347503707366,90.1,78.5,21.2
13109,96.67630057803468,81.0,77.4,30.5
13111,95.67367119901112,93.2,60.2,21.8
13113,98.15463234598278,89.2,80.5,38.2
13115,95.15822031881989,89.7,54.8,41.8
13117,98.25330144117706,90.1,78.7,40.3
13119,95.64252012212046,90.1,65.3,41.6
13121,97.54597212224331,85.0,72.5,48.5
13123,98.01797649227933,95.4,85.0,14.4
13125,95.51971326164875,98.2,88.1,29.0
13127,97.45393877847091,91.8,76.8,21.3
13129,98.20531895108796,93.0,90.6,26.5
13131,99.09872144204569,94.9,88.3,28.1
13133,98.82697947214076,93.8,87.4,21.2
13135,97.15714339021179,92.9,73.8,36.6
13137,93.67242309767944,87.2,61.8,40.8
13139,96.78519497686715,95.0,79.6,34.3
13141,98.00469483568075,95.4,46.4,0.5
13143,97.81734635267088,93.5,79.7,19.4
13145,96.99809127190699,89.1,90.4,29.6
13147,97.32323232323232,89.8,82.3,25.6
13149,96.21890547263682,92.0,86.1,17.0
13151,97.4839599710951,89.8,81.6,31.8
13153,98.4355121548671,91.7,83.9,38.2
13155,96.00982197667281,95.4,97.5,23.9
13157,97.14285714285714,89.8,88.2,34.8
13159,97.48784440842788,86.9,72.3,11.5
13161,94.33456252095206,95.5,92.9,22.7
13163,98.35826340751551,90.3,85.5,21.4
13165,94.35600578871201,92.9,100.0,20.6
13167,95.83017437452615,96.0,92.8,15.4
13169,98.52884982804738,92.0,74.9,28.3
13171,97.76357827476038,94.9,90.1,55.7
13173,98.23056300268097,98.9,84.1,25.2
13175,95.54443927408097,92.6,79.6,25.4
13177,98.00962016918228,89.0,88.3,31.5
13179,97.23230490018149,93.4,79.3,16.9
13181,93.22493224932249,96.9,91.5,23.6
13183,94.00826446280992,96.9,82.5,12.2
13185,96.46094750320103,93.2,90.5,45.8
13187,90.6015037593985,91.1,93.7,56.3
13189,97.27772227772228,96.2,85.7,18.1
13191,99.15922228060957,85.8,67.7,19.8
13193,94.17721518987342,84.5,92.3,11.9
13195,97.44098393175958,86.5,87.5,26.9
13197,96.92637598284489,92.3,100.0,24.3
13199,96.3855421686747,91.1,81.6,19.7
13201,90.81836327345309,84.6,81.3,9.3
13205,98.98012552301255,90.7,96.7,19.1
13207,93.70776042880448,69.9,72.0,26.1
13209,91.38056975894814,78.4,61.0,43.9
13211,93.71827411167513,93.0,87.6,23.2
13213,96.72109027121846,95.8,88.8,19.8
13215,97.05025067039757,91.8,85.6,41.0
13217,96.72358739414133,87.6,77.2,27.9
13219,98.53086419753086,83.4,88.4,42.9
13221,97.42558326629123,93.6,85.5,25.4
13223,97.4516531503431,93.1,76.8,31.3
13225,97.59345794392523,95.7,92.8,70.8
13227,97.0266363824076,92.4,85.2,26.1
13229,88.58267716535433,94.4,88.6,23.7
13231,94.09183971921614,89.9,87.8,31.6
13233,92.79809619238478,90.9,82.5,23.9
13235,99.27272727272727,92.9,93.1,26.1
13237,96.22093023255815,86.9,45.9,23.3
13239,90.03436426116839,88.4,93.9,15.0
13241,96.73428995546759,90.6,81.3,30.1
13243,98.9051094890511,93.0,87.1,29.7
13245,95.88271042236403,91.2,78.3,28.3
13247,94.13996381252554,90.6,82.8,35.1
13249,99.1140642303433,97.4,91.3,33.2
13251,97.06840390879479,89.9,93.9,31.3
13253,89.49447077409162,90.4,79.4,20.0
13255,95.91783895745232,89.7,88.6,17.3
13257,99.01526341703594,92.2,70.5,42.4
13259,87.54098360655738,88.0,100.0,3.9
13261,96.88424373890751,92.8,97.2,57.0
13263,92.81288723667906,88.2,73.2,20.5
13265,88.23529411764706,90.7,93.5,23.0
13267,98.63472436888202,89.1,86.4,16.4
13269,97.27564102564102,80.5,81.8,23.5
13271,99.58398335933437,96.6,97.8,15.2
13273,99.46055293324342,85.4,88.8,19.4
13275,99.10634495084898,92.4,77.3,26.6
13277,94.49731071576335,93.7,95.9,50.4
13279,98.89712873169805,91.3,85.4,25.6
13281,94.49192782526116,92.4,54.3,51.7
13283,98.29545454545455,94.0,73.7,11.4
13285,97.22003465112616,90.1,86.5,26.8
13287,95.65217391304348,94.5,95.9,23.8
13289,98.20051413881748,88.7,60.7,25.8
13291,89.22914466737065,86.3,49.1,20.7
13293,97.00460829493088,88.1,92.3,23.1
13295,97.2195078617749,88.9,83.5,26.5
13297,97.80105317979283,88.1,82.8,32.4
13299,93.33766655833604,94.4,80.2,18.5
13301,90.15795868772783,91.1,63.2,37.2
13303,97.31066460587326,88.9,90.0,35.6
13305,95.95246936502042,95.9,96.1,22.4
13307,99.30313588850174,88.0,100.0,31.7
13309,97.9871912168344,97.1,75.7,14.3
13311,97.50881834215167,91.7,67.1,33.2
13313,97.66176470588235,97.3,94.2,34.8
13315,99.3338884263114,96.1,89.5,16.5
13317,96.27009646302251,95.3,79.9,17.7
13319,97.13375796178345,85.0,79.3,31.6
13321,96.80662329982259,92.2,91.4,25.3
15001,95.95431050985897,85.5,82.6,34.4
15003,96.44504804542477,80.0,75.3,38.1
15005,,-,25.0,100.0
15007,91.96671046868155,88.1,81.0,23.8
15009,92.95764022481234,84.4,75.3,24.6
16001,96.57293497363796,90.6,86.6,41.9
16003,92.15328467153284,95.2,73.4,19.3
16005,96.45671696499481,93.1,91.9,52.5
16007,93.69138959931799,94.6,63.8,8.9
16009,95.63517915309447,87.6,87.2,9.8
16011,93.86480186480186,94.2,79.8,23.9
16013,98.94681411269089,92.1,71.8,15.3
16015,99.41176470588235,87.9,89.7,38.8
16017,94.99089253187614,83.7,74.4,15.9
16019,96.85867955413516,93.9,72.9,22.5
16021,93.30400782013685,73.0,56.4,9.7
16023,93.67945823927765,94.0,65.2,20.3
16025,97.96954314720813,85.6,100.0,53.3
16027,95.14272162814764,92.1,69.2,29.3
16029,96.88493324856961,97.4,93.3,21.6
16031,98.0731836662542,96.6,80.7,16.1
16033,92.42424242424242,100.0,100.0,11.2
16035,92.34317343173431,89.7,95.3,12.9
16037,94.07407407407408,100.0,57.1,6.6
16039,91.71378860374075,91.7,76.4,14.4
16041,97.82738095238095,93.7,68.9,8.5
16043,96.2336664104535,94.2,42.2,20.3
16045,97.76242184929254,90.3,76.7,19.6
16047,93.67816091954023,95.6,89.6,23.8
16049,95.42109566639411,88.5,73.7,8.3
16051,95.82408435072142,88.7,58.7,38.9
16053,94.08978973290395,90.9,86.9,19.5
16055,95.60443664338798,86.1,82.2,26.3
16057,97.39000745712156,84.9,96.1,75.9
16059,92.99363057324841,92.7,76.9,13.7
16061,95.44764795144158,85.3,78.0,11.4
16063,93.7448559670782,98.5,82.6,22.0
16065,96.09192037470726,98.7,21.8,71.1
16067,98.33679833679834,96.3,74.5,20.6
16069,95.05832793259883,86.9,92.8,38.7
16071,95.34883720930233,98.6,100.0,0.0
16073,87.04686118479222,92.2,77.9,24.5
16075,94.6067898581865,88.9,81.7,22.0
16077,94.64997154240181,94.2,79.4,26.8
16079,88.85714285714286,96.1,80.1,13.4
16081,91.64345403899722,85.4,76.9,35.2
16083,93.73950309839579,88.9,83.8,29.4
16085,98.87808526551981,92.2,74.5,23.0
16087,94.76241900647948,91.5,49.5,10.7
17001,97.9734708916728,83.7,67.0,28.3
17003,94.32692307692308,97.7,94.7,16.3
17005,98.38187702265373,98.2,50.7,70.1
17007,96.1472275334608,85.1,85.4,32.1
