cfips,total_population,old_age_dependency_ratio,child_dependency_ratio,median_age,sex_ratio
16045,17331,38.2,41.7,44.6,98.9
16047,15148,29.9,49.2,38.7,105.4
16049,16411,50.2,36.6,50.2,110.9
16051,28534,19.8,61.1,31.5,103.7
16053,23730,22.3,54.4,32.7,102.0
16055,157322,31.6,39.3,40.2,97.7
16057,39505,19.1,27.4,28.7,105.2
16059,7847,56.6,36.7,52.1,103.3
16061,3838,46.8,42.9,48.6,98.0
16063,5350,22.6,51.6,35.1,110.2
16065,39100,10.0,41.3,23.5,103.4
16067,20705,28.4,51.3,35.2,99.9
16069,40217,33.1,35.9,40.8,97.3
16071,4385,37.5,58.2,38.6,95.8
16073,11552,32.1,46.8,38.9,106.3
16075,23260,32.2,47.8,40.4,98.5
16077,7671,29.0,56.0,38.3,102.4
16079,12609,38.9,35.2,47.3,99.8
16081,11426,17.0,39.5,37.2,109.5
16083,84869,26.3,48.5,34.7,97.0
16085,10709,49.6,30.6,50.6,102.1
16087,10057,47.3,44.8,45.4,95.9
17001,66085,34.7,39.3,41.5,95.5
17003,6260,38.4,42.0,45.3,91.5
17005,16589,29.2,30.4,41.6,107.2
17007,53537,26.3,42.6,38.5,100.2
17009,6628,21.2,25.2,38.9,172.2
17011,33122,38.0,37.6,44.4,97.3
17013,4830,41.7,37.4,46.8,100.4
17015,14466,44.6,34.8,48.3,98.5
17017,12493,29.6,41.7,40.0,99.7
17019,209922,18.0,27.4,30.1,99.4
17021,32931,32.2,34.1,43.4,102.2
17023,15716,33.6,40.0,42.3,97.4
17025,13287,35.0,39.7,42.6,99.7
17027,37634,26.8,34.1,40.6,108.7
17029,51353,25.3,27.5,35.7,94.0
17031,5198275,22.4,34.6,36.8,94.3
17033,18972,30.5,32.3,41.8,109.3
17035,10836,33.4,39.6,42.5,102.2
17037,104366,18.3,32.6,31.1,98.4
17039,15932,31.5,36.2,43.6,99.5
17041,19623,30.6,43.6,37.8,98.2
17043,929060,24.1,36.8,39.3,96.5
17045,17407,37.4,34.9,45.2,96.3
17047,6455,37.4,41.6,43.5,99.4
17049,34137,29.0,40.1,39.4,98.7
17051,21565,31.1,34.1,41.9,113.6
17053,13270,32.2,38.9,43.4,97.5
17055,38923,34.8,38.3,42.8,97.3
17057,35092,33.4,33.0,43.2,109.2
17059,5064,42.0,36.6,45.6,94.7
17061,13132,31.7,34.5,42.5,100.8
