cfips,pct_with_scieng_degree,pct_with_libarts_degree,pct_with_business_degree
19161,24.2,18.9,14.9
19163,30.9,18.3,23.7
19165,25.7,17.6,18.4
19167,23.6,19.3,20.1
19169,44.2,20.5,13.2
19171,30.3,17.3,13.5
19173,25.4,12.9,15.6
19175,26.5,12.5,17.2
19177,37.5,12.4,18.9
19179,28.3,16.2,15.1
19181,25.3,21.8,25.3
19183,27.7,24.8,15.6
19185,26.1,19.8,7.8
19187,26.4,22.4,15.4
19189,25.0,21.3,19.4
19191,28.0,26.3,15.3
19193,21.3,21.4,23.6
19195,26.5,14.4,22.6
19197,26.6,20.4,16.7
20001,21.6,18.0,21.4
20003,31.7,18.2,7.7
20005,27.6,22.5,16.6
20007,33.6,16.7,13.7
20009,35.4,14.3,15.5
20011,20.1,24.5,20.6
20013,33.6,18.7,12.8
20015,27.4,18.2,21.3
20017,17.8,16.8,20.1
20019,33.8,7.8,11.7
20021,21.4,18.0,17.7
20023,42.3,8.7,16.3
20025,25.2,22.0,9.4
20027,23.5,17.3,20.9
20029,25.8,18.2,22.2
20031,32.2,10.8,21.9
20033,21.9,4.2,11.8
20035,22.4,15.3,22.1
20037,17.7,24.9,16.1
20039,36.9,25.6,2.6
20041,23.1,16.8,18.8
20043,28.4,12.9,19.1
20045,32.1,33.1,13.9
20047,38.4,14.7,12.5
20049,23.6,19.7,4.6
20051,27.8,21.5,21.3
20053,30.6,20.8,17.3
20055,27.2,23.1,19.0
20057,30.7,16.4,20.0
20059,21.9,21.8,19.2
20061,23.2,28.1,20.9
20063,27.5,17.7,17.2
