cfips,pct_households_married,avg_family_size,pct_unmarried_same_sex_households,pct_housing_owner_occupied
13111,56.11068408916219,2.92,81.0,79.0
13113,65.07633114062305,3.19,89.0,82.0
13115,50.665657669777744,3.13,74.7,61.0
13117,71.38352898258049,3.30,91.3,84.0
13119,54.82269503546099,3.12,62.6,66.4
13121,36.14799696036787,3.34,55.6,51.6
13123,54.51293569586557,3.05,71.6,74.5
13125,48.46570397111913,3.36,58.0,74.7
13127,45.68715378528093,3.01,70.5,62.5
13129,54.228879918291916,3.23,73.0,65.1
13131,49.978108581436075,3.25,63.1,64.3
13133,52.25743129556927,2.89,74.8,74.6
13135,56.883714587665764,3.59,79.3,66.3
13137,55.90197503137592,3.44,78.6,78.3
13139,57.15595474888116,3.53,77.0,69.5
13141,32.85137861466039,2.66,59.1,70.6
13143,48.885336175504044,3.04,74.8,68.4
13145,66.80651530108588,3.15,90.4,87.6
13147,52.105957576372674,3.08,69.9,74.8
13149,52.35450910706353,3.03,58.8,71.1
13151,55.44061907770057,3.39,85.2,70.4
13153,50.725602916432976,3.14,76.3,63.6
13155,46.4403724842295,3.66,66.5,73.6
13157,60.77441077441077,3.31,79.4,77.9
13159,56.236704699284466,3.11,78.3,76.8
13161,48.43720401591211,3.36,60.5,65.1
13163,37.74717514124294,3.42,58.5,63.2
13165,45.57072320650595,3.30,60.8,71.4
13167,39.581491305629235,3.38,59.2,67.3
13169,52.59321558732829,3.17,72.5,80.2
13171,42.26978749615029,3.66,77.1,69.2
13173,52.127086698976846,3.39,67.9,64.4
13175,43.88052735970132,3.32,64.5,64.2
13177,59.73987874046548,3.22,77.3,72.8
13179,47.6985309772195,3.00,62.5,45.7
13181,43.94244604316547,2.83,64.7,75.0
13183,50.74626865671642,3.69,56.7,69.1
13185,42.88067438593092,3.37,69.7,52.3
13187,51.12359550561798,3.11,71.3,70.7
13189,43.43186557095547,3.10,66.2,61.3
13191,50.016550810989735,2.78,63.3,79.8
13193,38.905451448040886,3.08,58.5,64.0
13195,57.19471332836932,3.10,71.1,74.7
13197,51.1443661971831,2.94,55.3,78.4
13199,40.88933051794808,3.15,74.9,68.5
13201,48.221174453493354,2.94,73.1,65.5
13205,40.00250563768479,3.03,64.8,62.2
13207,51.41393442622951,3.47,72.6,79.1
13209,49.208911850177586,3.28,60.9,69.2
13211,57.548256986459236,3.07,79.2,73.2
13213,57.2749391727494,3.15,61.3,69.6
13215,38.06951717313322,3.38,69.1,48.0
13217,48.44670160462478,3.44,85.7,67.6
13219,66.34880429114207,3.21,90.4,82.9
13221,49.92036807644665,3.34,66.0,77.2
13223,58.62961781646935,3.39,92.3,75.8
13225,39.1179952644041,3.12,69.0,65.4
13227,59.765756656555446,3.07,77.3,75.9
13229,50.482406356413165,3.11,62.1,77.5
13231,59.41722285528244,3.50,85.6,84.0
13233,45.53132065434233,3.38,78.1,64.6
13235,43.61269324654191,3.13,72.3,64.3
13237,53.16101600089516,2.82,59.9,77.0
13239,39.90498812351544,3.39,52.9,70.2
13241,50.09006304413089,3.00,73.9,74.3
13243,31.492361927144536,3.46,67.8,57.2
13245,34.07142857142857,3.52,69.5,52.6
13247,48.35886214442014,3.36,80.7,66.4
13249,57.34978540772532,3.29,59.2,71.5
13251,45.64535111808553,3.32,57.4,73.5
13253,39.399345822182575,3.12,65.8,65.3
13255,41.48175542406312,3.19,80.5,62.5
13257,54.1863145761291,3.11,69.2,69.8
13259,37.22466960352423,2.87,58.0,73.5
13261,38.8010425716768,3.07,66.0,55.5
13263,40.76183695265219,2.76,62.8,79.0
13265,39.46037099494098,3.35,58.7,69.0
13267,47.93107632568863,2.73,58.8,67.2
13269,43.190325367117765,2.91,56.4,70.5
13271,43.18766066838046,3.24,65.5,67.0
13273,37.45219182112386,2.98,70.8,55.0
13275,44.512645637965335,2.99,70.0,61.2
13277,45.67485472794506,3.03,63.2,60.0
13279,44.017946161515454,3.33,63.4,60.5
13281,55.73703552470396,2.66,80.2,78.3
13283,46.46586345381526,3.18,53.9,66.9
13285,45.735718870346595,3.39,74.8,57.4
13287,45.09308930261912,2.75,70.5,69.1
13289,42.31274638633377,3.65,66.0,80.9
