cfips,birth_rate,pct_new_young_mothers
19191,66,0.0
19193,61,2.6
19195,73,0.0
19197,42,0.0
20001,53,7.4
20003,93,1.4
20005,39,14.9
20007,84,0.0
20009,56,6.3
20011,64,0.0
20013,69,2.4
20015,61,1.7
20017,50,0.0
20019,46,12.0
20021,46,3.7
20023,17,12.5
20025,42,0.0
20027,103,0.0
20029,75,0.0
20031,83,0.0
20033,0,-
20035,56,5.0
20037,83,0.4
20039,38,5.6
20041,90,0.0
20043,71,0.0
20045,41,1.3
20047,58,0.0
20049,58,4.5
20051,39,0.0
20053,50,0.0
20055,65,8.9
20057,56,0.0
20059,38,0.0
20061,93,0.0
20063,152,0.0
20065,33,0.0
20067,117,0.0
20069,69,0.0
20071,13,0.0
20073,64,4.5
20075,0,-
20077,87,23.8
20079,74,2.1
20081,91,7.6
20083,31,0.0
20085,48,0.0
20087,73,1.5
20089,169,0.0
20091,50,2.0
20093,78,40.0
20095,89,0.0
20097,22,0.0
20099,41,0.0
20101,79,0.0
20103,73,2.0
20105,76,24.3
20107,78,19.6
20109,76,0.0
20111,26,1.8
20113,51,1.9
20115,77,4.6
20117,68,0.0
20119,126,0.0
20121,60,1.2
20123,61,0.0
20125,50,0.3
20127,57,0.0
20129,27,76.5
20131,72,0.0
20133,43,0.0
20135,95,0.0
20137,26,0.0
20139,66,0.0
20141,104,0.0
20143,56,0.0
20145,60,0.0
20147,90,0.0
20149,122,0.6
20151,63,0.0
20153,64,0.0
20155,70,1.5
20157,72,0.0
20159,90,4.1
20161,54,9.4
20163,55,0.0
20165,36,0.0
20167,74,0.0
20169,66,1.4
20171,148,0.0
20173,60,4.3
20175,56,16.1
20177,57,8.7
20179,70,0.0
20181,65,0.0
20183,66,0.0
20185,66,0.0
20187,92,0.0
20189,91,0.0
20191,76,4.3
20193,55,2.0
20195,0,-
20197,74,0.0
20199,114,30.0
20201,81,6.8
20203,23,0.0
20205,92,9.7
20207,92,8.3
20209,65,9.1
21001,19,0.0
21003,64,0.0
21005,31,0.0
21007,16,4.0
21009,66,7.8
21011,70,0.0
21013,46,2.2
21015,42,1.4
21017,69,0.0
21019,37,6.4
21021,44,8.1
21023,34,0.0
21025,52,0.7
21027,63,2.6
21029,49,3.2
21031,72,0.0
21033,88,0.0
21035,34,0.0
21037,63,1.4
21039,53,0.0
21041,75,31.1
21043,37,4.2
21045,74,3.2
21047,78,0.3
21049,58,1.8
21051,66,7.3
21053,52,10.2
21055,145,0.0
21057,52,0.0
21059,69,6.0
21061,85,24.2
21063,12,0.0
21065,28,22.0
21067,47,2.0
21069,31,7.4
21071,51,4.3
21073,46,1.1
21075,79,0.0
21077,70,0.0
21079,83,0.0
21081,64,1.9
21083,52,7.8
21085,67,0.0
21087,68,0.0
21089,52,0.8
21091,78,0.0
21093,59,5.8
21095,43,0.0
21097,82,13.0
21099,58,6.2
21101,67,8.9
21103,39,7.6
21105,44,0.0
21107,64,2.1
21109,39,0.0
21111,49,2.9
21113,45,3.9
21115,50,0.0
21117,65,1.9
21119,46,14.4
21121,43,4.2
21123,77,0.0
21125,54,3.6
21127,33,2.8
21129,55,0.0
21131,79,13.8
21133,52,0.0
21135,96,15.2
21137,52,0.0
21139,54,0.0
21141,39,0.0
21143,49,20.0
21145,56,4.1
21147,67,6.4
21149,55,8.9
21151,42,4.2
21153,92,7.1
21155,31,19.5
21157,62,0.0
21159,27,0.0
21161,35,2.3
21163,55,4.8
21165,51,0.0
21167,65,0.0
21169,63,0.0
21171,88,0.0
21173,48,0.0
21175,27,0.0
21177,44,0.0
21179,45,3.7
21181,51,0.0
21183,63,7.2
21185,58,2.6
21187,34,0.0
21189,61,16.7
21191,66,0.0
21193,37,0.0
21195,41,0.0
21197,80,0.0
21199,59,4.0
21201,28,28.6
21203,38,5.8
