"GEO_ID","NAME","B05001_001E","B05001_001M","B05001_001MA","B05001_001EA","B05001_002E","B05001_002M","B05001_002MA","B05001_002EA","B05001_003E","B05001_003M","B05001_003MA","B05001_003EA","B05001_004E","B05001_004EA","B05001_004M","B05001_004MA","B05001_005E","B05001_005M","B05001_005MA","B05001_005EA","B05001_006E","B05001_006M","B05001_006MA","B05001_006EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!U.S. citizen, born in the United States","Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Estimate!!Total!!U.S. citizen, born in the United States","Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total!!U.S. citizen by naturalization","Margin of Error!!Total!!U.S. citizen by naturalization","Annotation of Margin of Error!!Total!!U.S. citizen by naturalization","Annotation of Estimate!!Total!!U.S. citizen by naturalization","Estimate!!Total!!Not a U.S. citizen","Margin of Error!!Total!!Not a U.S. citizen","Annotation of Margin of Error!!Total!!Not a U.S. citizen","Annotation of Estimate!!Total!!Not a U.S. citizen",
"0500000US48381","Randall County, Texas","132475","*****","*****","null","124402","921","null","null","145","96","null","null","947","null","287","null","2975","418","null","null","4006","708","null","null",
"0500000US48383","Reagan County, Texas","3752","*****","*****","null","2986","184","null","null","0","13","null","null","11","null","12","null","261","87","null","null","494","181","null","null",
"0500000US48385","Real County, Texas","3389","*****","*****","null","3256","91","null","null","0","13","null","null","33","null","36","null","20","25","null","null","80","86","null","null",
"0500000US48387","Red River County, Texas","12275","*****","*****","null","11864","131","null","null","6","11","null","null","125","null","123","null","138","63","null","null","142","106","null","null",
"0500000US48389","Reeves County, Texas","15125","*****","*****","null","12001","423","null","null","3","5","null","null","32","null","24","null","457","120","null","null","2632","405","null","null",
"0500000US48391","Refugio County, Texas","7236","*****","*****","null","7015","84","null","null","16","23","null","null","39","null","34","null","83","41","null","null","83","55","null","null",
"0500000US48393","Roberts County, Texas","885","125","null","null","854","120","null","null","0","13","null","null","4","null","6","null","27","23","null","null","0","13","null","null",
"0500000US48395","Robertson County, Texas","16890","*****","*****","null","15662","284","null","null","0","21","null","null","199","null","108","null","291","185","null","null","738","213","null","null",
"0500000US48397","Rockwall County, Texas","93642","*****","*****","null","83462","745","null","null","423","191","null","null","1260","null","354","null","3950","494","null","null","4547","667","null","null",
"0500000US48399","Runnels County, Texas","10310","*****","*****","null","9827","134","null","null","5","8","null","null","52","null","40","null","232","76","null","null","194","105","null","null",
"0500000US48401","Rusk County, Texas","53595","*****","*****","null","49586","318","null","null","81","85","null","null","187","null","93","null","1063","287","null","null","2678","318","null","null",
"0500000US48403","Sabine County, Texas","10458","*****","*****","null","10302","70","null","null","0","21","null","null","37","null","36","null","75","49","null","null","44","38","null","null",
"0500000US48405","San Augustine County, Texas","8327","*****","*****","null","8008","46","null","null","0","19","null","null","0","null","19","null","98","53","null","null","221","71","null","null",
"0500000US48407","San Jacinto County, Texas","27819","*****","*****","null","26033","302","null","null","0","25","null","null","441","null","280","null","352","159","null","null","993","278","null","null",
"0500000US48409","San Patricio County, Texas","67046","*****","*****","null","62434","581","null","null","113","131","null","null","461","null","162","null","1261","285","null","null","2777","520","null","null",
"0500000US48411","San Saba County, Texas","5962","*****","*****","null","5260","129","null","null","2","5","null","null","22","null","20","null","150","67","null","null","528","129","null","null",
"0500000US48413","Schleicher County, Texas","3061","*****","*****","null","2679","112","null","null","0","13","null","null","6","null","10","null","166","65","null","null","210","70","null","null",
"0500000US48415","Scurry County, Texas","17239","*****","*****","null","16045","426","null","null","18","19","null","null","88","null","55","null","425","190","null","null","663","379","null","null",
"0500000US48417","Shackelford County, Texas","3311","*****","*****","null","3208","45","null","null","0","13","null","null","11","null","17","null","50","29","null","null","42","32","null","null",
"0500000US48419","Shelby County, Texas","25478","*****","*****","null","22941","221","null","null","83","83","null","null","0","null","25","null","310","139","null","null","2144","267","null","null",
"0500000US48421","Sherman County, Texas","3058","*****","*****","null","2518","93","null","null","0","13","null","null","46","null","32","null","136","55","null","null","358","78","null","null",
"0500000US48423","Smith County, Texas","225015","*****","*****","null","204326","1226","null","null","240","182","null","null","1504","null","386","null","7050","653","null","null","11895","1177","null","null",
"0500000US48425","Somervell County, Texas","8743","*****","*****","null","8394","197","null","null","14","28","null","null","12","null","18","null","189","150","null","null","134","127","null","null",
"0500000US48427","Starr County, Texas","63894","*****","*****","null","43323","1058","null","null","0","31","null","null","1319","null","349","null","5688","525","null","null","13564","1123","null","null",
"0500000US48429","Stephens County, Texas","9372","*****","*****","null","8843","187","null","null","0","19","null","null","115","null","119","null","143","81","null","null","271","135","null","null",
"0500000US48431","Sterling County, Texas","1141","137","null","null","1068","139","null","null","0","13","null","null","5","null","7","null","19","21","null","null","49","30","null","null",
"0500000US48433","Stonewall County, Texas","1385","118","null","null","1377","119","null","null","0","13","null","null","0","null","13","null","2","3","null","null","6","8","null","null",
"0500000US48435","Sutton County, Texas","3865","*****","*****","null","3271","186","null","null","0","13","null","null","68","null","53","null","222","138","null","null","304","106","null","null",
"0500000US48437","Swisher County, Texas","7484","*****","*****","null","6724","252","null","null","8","15","null","null","30","null","29","null","219","104","null","null","503","234","null","null",
"0500000US48439","Tarrant County, Texas","2019977","*****","*****","null","1663674","4796","null","null","11207","1273","null","null","21109","null","1173","null","125950","2859","null","null","198037","4313","null","null",
"0500000US48441","Taylor County, Texas","136348","*****","*****","null","125785","898","null","null","381","139","null","null","2052","null","316","null","3695","587","null","null","4435","642","null","null",
