"GEO_ID","NAME","B05001_001E","B05001_001M","B05001_001MA","B05001_001EA","B05001_002E","B05001_002M","B05001_002MA","B05001_002EA","B05001_003E","B05001_003M","B05001_003MA","B05001_003EA","B05001_004E","B05001_004EA","B05001_004M","B05001_004MA","B05001_005E","B05001_005EA","B05001_005M","B05001_005MA","B05001_006E","B05001_006M","B05001_006MA","B05001_006EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!U.S. citizen, born in the United States","Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Estimate!!Total!!U.S. citizen, born in the United States","Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total!!U.S. citizen by naturalization","Annotation of Estimate!!Total!!U.S. citizen by naturalization","Margin of Error!!Total!!U.S. citizen by naturalization","Annotation of Margin of Error!!Total!!U.S. citizen by naturalization","Estimate!!Total!!Not a U.S. citizen","Margin of Error!!Total!!Not a U.S. citizen","Annotation of Margin of Error!!Total!!Not a U.S. citizen","Annotation of Estimate!!Total!!Not a U.S. citizen",
"0500000US46037","Day County, South Dakota","5524","*****","*****","null","5482","22","null","null","0","13","null","null","19","null","16","null","6","null","7","null","17","13","null","null",
"0500000US46039","Deuel County, South Dakota","4282","*****","*****","null","4228","40","null","null","0","9","null","null","7","null","10","null","0","null","9","null","47","38","null","null",
"0500000US46041","Dewey County, South Dakota","5709","*****","*****","null","5656","42","null","null","0","13","null","null","37","null","31","null","12","null","11","null","4","6","null","null",
"0500000US46043","Douglas County, South Dakota","2940","*****","*****","null","2862","26","null","null","0","9","null","null","17","null","13","null","4","null","3","null","57","23","null","null",
"0500000US46045","Edmunds County, South Dakota","3971","*****","*****","null","3912","37","null","null","0","9","null","null","16","null","25","null","8","null","15","null","35","26","null","null",
"0500000US46047","Fall River County, South Dakota","6783","*****","*****","null","6621","90","null","null","0","13","null","null","10","null","13","null","69","null","60","null","83","76","null","null",
"0500000US46049","Faulk County, South Dakota","2327","*****","*****","null","2325","5","null","null","0","9","null","null","0","null","9","null","1","null","3","null","1","3","null","null",
"0500000US46051","Grant County, South Dakota","7133","*****","*****","null","6941","128","null","null","0","13","null","null","6","null","9","null","13","null","15","null","173","129","null","null",
"0500000US46053","Gregory County, South Dakota","4209","*****","*****","null","4141","32","null","null","0","9","null","null","12","null","9","null","51","null","33","null","5","6","null","null",
"0500000US46055","Haakon County, South Dakota","2084","82","null","null","2078","82","null","null","0","9","null","null","6","null","6","null","0","null","9","null","0","9","null","null",
"0500000US46057","Hamlin County, South Dakota","5911","*****","*****","null","5741","47","null","null","0","13","null","null","22","null","15","null","75","null","33","null","73","40","null","null",
"0500000US46059","Hand County, South Dakota","3303","101","null","null","3291","103","null","null","0","9","null","null","7","null","10","null","5","null","8","null","0","9","null","null",
"0500000US46061","Hanson County, South Dakota","3404","*****","*****","null","3394","6","null","null","0","9","null","null","7","null","6","null","2","null","3","null","1","2","null","null",
"0500000US46063","Harding County, South Dakota","1281","114","null","null","1248","109","null","null","0","9","null","null","7","null","7","null","7","null","9","null","19","25","null","null",
